# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+02
# lRef          : 1.00000000e+00
# Aref          : 2.50000000e-01
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
10              	-2.53633285e-01	-1.04584131e+00	7.92208023e-01	-1.47043946e+00	-1.39944333e+00	-7.09961384e-02	-6.64223594e-01	-9.19024665e-01	1.58520803e-01	3.33225139e-22	1.58520803e-01	-1.58520803e-01
20              	-3.28347489e-02	-5.20074698e-02	1.91727209e-02	-5.69441526e-02	3.01667148e-02	-8.71108674e-02	5.86387911e-02	-3.55900954e-02	2.05217180e-02	-8.89558093e-22	2.05217180e-02	-2.05217180e-02
30              	1.43806280e-02	1.02381729e-01	-8.80011013e-02	1.52306264e-01	2.15528387e-01	-6.32221223e-02	1.39375254e-01	9.51914153e-02	-8.98789249e-03	-9.34702412e-22	-8.98789249e-03	8.98789249e-03
40              	1.54104693e-02	1.01359814e-01	-8.59493451e-02	1.49847328e-01	2.05482337e-01	-5.56350098e-02	1.30558674e-01	9.36545797e-02	-9.63154329e-03	-9.13645860e-22	-9.63154329e-03	9.63154329e-03
50              	1.51827521e-02	9.91026547e-02	-8.39199026e-02	1.46418046e-01	1.98703190e-01	-5.22851439e-02	1.25494167e-01	9.15112787e-02	-9.48922004e-03	-9.07494714e-22	-9.48922004e-03	9.48922004e-03
60              	1.50974964e-02	9.39516204e-02	-7.88541240e-02	1.38244596e-01	1.84876744e-01	-4.66321483e-02	1.15754446e-01	8.64028722e-02	-9.43593528e-03	-9.13163888e-22	-9.43593528e-03	9.43593528e-03
70              	1.41278025e-02	7.99791572e-02	-6.58513547e-02	1.16664409e-01	1.53327921e-01	-3.66635112e-02	9.49957160e-02	7.29152559e-02	-8.82987656e-03	-9.02409718e-22	-8.82987656e-03	8.82987656e-03
80              	1.39937295e-02	7.71055908e-02	-6.31118612e-02	1.12173962e-01	1.42754709e-01	-3.05807473e-02	8.66677281e-02	7.01087260e-02	-8.74608096e-03	-9.03034984e-22	-8.74608096e-03	8.74608096e-03
90              	1.79406274e-02	1.18282127e-01	-1.00341499e-01	1.74898901e-01	2.14384202e-01	-3.94853007e-02	1.26934751e-01	1.09311813e-01	-1.12128921e-02	-9.77588186e-22	-1.12128921e-02	1.12128921e-02
100             	2.48122322e-02	1.83300077e-01	-1.58487845e-01	2.73430338e-01	3.32708137e-01	-5.92777992e-02	1.95992968e-01	1.70893961e-01	-1.55076451e-02	-1.04902915e-21	-1.55076451e-02	1.55076451e-02
110             	2.46582929e-02	2.36993712e-01	-2.12335419e-01	3.59463305e-01	4.40397258e-01	-8.09339528e-02	2.60665605e-01	2.24664566e-01	-1.54114331e-02	-1.01388484e-21	-1.54114331e-02	1.54114331e-02
120             	2.18674636e-02	2.67322237e-01	-2.45454773e-01	4.10221608e-01	5.06779910e-01	-9.65583016e-02	3.01669106e-01	2.56388505e-01	-1.36671647e-02	-9.36827289e-22	-1.36671647e-02	1.36671647e-02
130             	1.82967982e-02	2.92919906e-01	-2.74623107e-01	4.54034411e-01	5.63590920e-01	-1.09556510e-01	3.36573715e-01	2.83771507e-01	-1.14354988e-02	-8.62601873e-22	-1.14354988e-02	1.14354988e-02
140             	1.41405473e-02	3.08529832e-01	-2.94389284e-01	4.82335293e-01	6.01686691e-01	-1.19351398e-01	3.60519045e-01	3.01459558e-01	-8.83784208e-03	-7.42488742e-22	-8.83784208e-03	8.83784208e-03
150             	1.08777964e-02	3.23012023e-01	-3.12134227e-01	5.08117000e-01	6.33155468e-01	-1.25038469e-01	3.79096968e-01	3.17573125e-01	-6.79862276e-03	-6.37367368e-22	-6.79862276e-03	6.79862276e-03
160             	8.38795691e-03	3.30348948e-01	-3.21960991e-01	5.21847951e-01	6.51687773e-01	-1.29839822e-01	3.90763797e-01	3.26154970e-01	-5.24247307e-03	-5.62352748e-22	-5.24247307e-03	5.24247307e-03
170             	6.05830800e-03	3.38259107e-01	-3.32200799e-01	5.36367925e-01	6.69694697e-01	-1.33326773e-01	4.01510735e-01	3.35229953e-01	-3.78644250e-03	-5.00690644e-22	-3.78644250e-03	3.78644250e-03
180             	3.45096562e-03	3.42307690e-01	-3.38856725e-01	5.44931532e-01	6.82153733e-01	-1.37222200e-01	4.09687966e-01	3.40582208e-01	-2.15685351e-03	-4.66690454e-22	-2.15685351e-03	2.15685351e-03
190             	1.96916894e-03	3.45620708e-01	-3.43651540e-01	5.51417798e-01	6.91320213e-01	-1.39902414e-01	4.15611314e-01	3.44636124e-01	-1.23073058e-03	-4.40576189e-22	-1.23073058e-03	1.23073058e-03
200             	1.29289815e-03	3.50836479e-01	-3.49543581e-01	5.60304049e-01	7.03521515e-01	-1.43217466e-01	4.23369490e-01	3.50190030e-01	-8.08061343e-04	-4.30732478e-22	-8.08061343e-04	8.08061343e-04
210             	-4.07721637e-04	3.54427911e-01	-3.54835632e-01	5.67410835e-01	7.13135226e-01	-1.45724392e-01	4.29429809e-01	3.54631772e-01	2.54826023e-04	-3.96524567e-22	2.54826023e-04	-2.54826023e-04
220             	-2.19033851e-03	3.57317615e-01	-3.59507954e-01	5.73460455e-01	7.21416532e-01	-1.47956076e-01	4.34686304e-01	3.58412785e-01	1.36896157e-03	-3.76015983e-22	1.36896157e-03	-1.36896157e-03
230             	-3.21538788e-03	3.60543639e-01	-3.63759027e-01	5.79442133e-01	7.29308212e-01	-1.49866079e-01	4.39587146e-01	3.62151333e-01	2.00961742e-03	-3.74417663e-22	2.00961742e-03	-2.00961742e-03
240             	-4.26883977e-03	3.61973896e-01	-3.66242736e-01	5.82573306e-01	7.33686650e-01	-1.51113343e-01	4.42399996e-01	3.64108316e-01	2.66802485e-03	-3.55761793e-22	2.66802485e-03	-2.66802485e-03
250             	-4.97366145e-03	3.62894908e-01	-3.67868570e-01	5.84610782e-01	7.36270052e-01	-1.51659270e-01	4.43964661e-01	3.65381739e-01	3.10853841e-03	-3.57641999e-22	3.10853841e-03	-3.10853841e-03
260             	-6.06259630e-03	3.63599511e-01	-3.69662107e-01	5.86609295e-01	7.39237075e-01	-1.52627780e-01	4.45932428e-01	3.66630809e-01	3.78912269e-03	-3.43981853e-22	3.78912269e-03	-3.78912269e-03
270             	-7.00418319e-03	3.64075462e-01	-3.71079645e-01	5.88124086e-01	7.41385991e-01	-1.53261905e-01	4.47323948e-01	3.67577554e-01	4.37761449e-03	-3.18223895e-22	4.37761449e-03	-4.37761449e-03
280             	-7.19912586e-03	3.65459153e-01	-3.72658279e-01	5.90493946e-01	7.44729306e-01	-1.54235361e-01	4.49482334e-01	3.69058716e-01	4.49945366e-03	-3.47872831e-22	4.49945366e-03	-4.49945366e-03
290             	-7.67877657e-03	3.66372627e-01	-3.74051404e-01	5.92339225e-01	7.47107000e-01	-1.54767775e-01	4.50937387e-01	3.70212015e-01	4.79923536e-03	-3.31821153e-22	4.79923536e-03	-4.79923536e-03
300             	-7.91141930e-03	3.66822233e-01	-3.74733653e-01	5.93244709e-01	7.47838287e-01	-1.54593578e-01	4.51215932e-01	3.70777943e-01	4.94463706e-03	-3.24409992e-22	4.94463706e-03	-4.94463706e-03
310             	-8.60448161e-03	3.68307686e-01	-3.76912168e-01	5.96175883e-01	7.51476837e-01	-1.55300954e-01	4.53388896e-01	3.72609927e-01	5.37780101e-03	-3.09735313e-22	5.37780101e-03	-5.37780101e-03
320             	-8.51748333e-03	3.70336458e-01	-3.78853941e-01	5.99352319e-01	7.55402328e-01	-1.56050009e-01	4.55726168e-01	3.74595199e-01	5.32342708e-03	-3.23109472e-22	5.32342708e-03	-5.32342708e-03
330             	-8.77420749e-03	3.71331827e-01	-3.80106035e-01	6.01150290e-01	7.57686954e-01	-1.56536664e-01	4.57111809e-01	3.75718931e-01	5.48387968e-03	-3.32966444e-22	5.48387968e-03	-5.48387968e-03
