# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+02
# lRef          : 1.00000000e+00
# Aref          : 2.50000000e-01
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
10              	-2.02649994e-01	-6.44773961e-01	4.42123967e-01	-8.69518343e-01	-8.02336903e-01	-6.71814397e-02	-3.67577732e-01	-5.43448964e-01	1.26656246e-01	2.11216520e-22	1.26656246e-01	-1.26656246e-01
20              	-2.35528543e-02	-8.05042421e-03	-1.55024300e-02	5.96160467e-03	8.38040593e-02	-7.78424546e-02	8.08232570e-02	3.72600292e-03	1.47205339e-02	-9.15294803e-22	1.47205339e-02	-1.47205339e-02
30              	1.80615100e-02	1.28811345e-01	-1.10749835e-01	1.91648944e-01	2.54623440e-01	-6.29744964e-02	1.58798968e-01	1.19780590e-01	-1.12884438e-02	-9.79172630e-22	-1.12884438e-02	1.12884438e-02
40              	1.94192853e-02	1.36259777e-01	-1.16840492e-01	2.02480215e-01	2.61237522e-01	-5.87573063e-02	1.59997414e-01	1.26550135e-01	-1.21370533e-02	-9.45569453e-22	-1.21370533e-02	1.21370533e-02
50              	1.88588523e-02	1.40621810e-01	-1.21762957e-01	2.09907813e-01	2.68047246e-01	-5.81394326e-02	1.63093339e-01	1.31192383e-01	-1.17867827e-02	-9.31787639e-22	-1.17867827e-02	1.17867827e-02
60              	1.86942842e-02	1.45415784e-01	-1.26721500e-01	2.17709828e-01	2.75399023e-01	-5.76891953e-02	1.66544109e-01	1.36068642e-01	-1.16839277e-02	-9.44410265e-22	-1.16839277e-02	1.16839277e-02
70              	1.82767159e-02	1.43897213e-01	-1.25620497e-01	2.15614169e-01	2.71121985e-01	-5.55078162e-02	1.63314900e-01	1.34758855e-01	-1.14229475e-02	-9.34750240e-22	-1.14229475e-02	1.14229475e-02
80              	1.93571900e-02	1.49029442e-01	-1.29672252e-01	2.22961355e-01	2.77124375e-01	-5.41630195e-02	1.65643697e-01	1.39350847e-01	-1.20982437e-02	-9.45148052e-22	-1.20982437e-02	1.20982437e-02
90              	2.09043896e-02	1.64747664e-01	-1.43843275e-01	2.46872751e-01	3.04457036e-01	-5.75842841e-02	1.81020660e-01	1.54295470e-01	-1.30652435e-02	-9.75038194e-22	-1.30652435e-02	1.30652435e-02
100             	2.16863170e-02	1.94665721e-01	-1.72979404e-01	2.94116100e-01	3.61672304e-01	-6.75562040e-02	2.14614254e-01	1.83822562e-01	-1.35539481e-02	-9.94988673e-22	-1.35539481e-02	1.35539481e-02
110             	2.08490829e-02	2.25145071e-01	-2.04295988e-01	3.43552848e-01	4.22584465e-01	-7.90316170e-02	2.50808041e-01	2.14720530e-01	-1.30306768e-02	-9.56241197e-22	-1.30306768e-02	1.30306768e-02
120             	1.98714446e-02	2.48691973e-01	-2.28820528e-01	3.82010000e-01	4.71234273e-01	-8.92242726e-02	2.80229273e-01	2.38756250e-01	-1.24196529e-02	-9.19523812e-22	-1.24196529e-02	1.24196529e-02
130             	1.80903097e-02	2.66941448e-01	-2.48851139e-01	4.12634070e-01	5.09808818e-01	-9.71747485e-02	3.03491783e-01	2.57896294e-01	-1.13064435e-02	-8.87262284e-22	-1.13064435e-02	1.13064435e-02
140             	1.63077681e-02	2.81214935e-01	-2.64907167e-01	4.36897681e-01	5.39463069e-01	-1.02565388e-01	3.21014229e-01	2.73061051e-01	-1.01923550e-02	-8.38866160e-22	-1.01923550e-02	1.01923550e-02
150             	1.54734589e-02	2.90189173e-01	-2.74715714e-01	4.51923910e-01	5.58625801e-01	-1.06701892e-01	3.32663846e-01	2.82452444e-01	-9.67091184e-03	-7.92904788e-22	-9.67091184e-03	9.67091184e-03
160             	1.37722617e-02	2.95196831e-01	-2.81424570e-01	4.61297121e-01	5.71959635e-01	-1.10662515e-01	3.41311075e-01	2.88310701e-01	-8.60766358e-03	-7.71615639e-22	-8.60766358e-03	8.60766358e-03
