# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
1               	smoothSolver	9.99998770e-01	5.55337320e-02	4	1.00000000e+00	2.51236890e-02	4	false	smoothSolver	1.00000000e+00	2.65405240e-02	4	true	smoothSolver	9.71934210e-03	4.95233120e-04	4	true	GAMG	1.00000000e+00	9.17920880e-02	5	true
2               	smoothSolver	3.87150970e-01	6.70538550e-03	4	5.51623140e-01	5.30776450e-02	2	false	smoothSolver	4.29776070e-01	9.02059770e-03	4	true	smoothSolver	1.83833460e-03	8.79777210e-05	4	true	GAMG	1.97367640e-01	1.11694240e-02	3	true
3               	smoothSolver	2.09068850e-01	4.60610430e-03	4	3.70316690e-01	7.09371830e-03	4	false	smoothSolver	2.49881370e-01	5.52328510e-03	4	true	smoothSolver	1.89388630e-03	9.07435010e-05	4	true	GAMG	1.77019430e-01	6.48939600e-03	2	true
4               	smoothSolver	1.12593860e-01	2.48127170e-03	4	2.30419820e-01	4.38812580e-03	4	false	smoothSolver	1.54669590e-01	3.55433220e-03	4	true	smoothSolver	2.32893020e-03	1.08731400e-04	4	true	GAMG	1.81857400e-01	1.77735990e-02	2	true
5               	smoothSolver	6.93170360e-02	1.39601220e-03	4	1.47628150e-01	2.68619190e-03	4	false	smoothSolver	1.01837030e-01	2.52063830e-03	4	true	smoothSolver	2.41141500e-03	1.23348850e-04	4	true	GAMG	2.00337950e-01	1.15482230e-02	3	true
6               	smoothSolver	4.92902240e-02	8.85152210e-04	4	9.91254070e-02	1.74465360e-03	4	false	smoothSolver	7.24719410e-02	1.91183710e-03	4	true	smoothSolver	2.35096700e-03	1.09963660e-04	4	true	GAMG	2.17851120e-01	1.28886200e-02	3	true
7               	smoothSolver	4.79365480e-02	4.65874280e-03	2	7.92071170e-02	7.66649190e-03	2	false	smoothSolver	5.40731510e-02	1.46651020e-03	4	true	smoothSolver	2.11656300e-03	1.02890460e-04	4	true	GAMG	2.41873580e-01	1.17993810e-02	3	true
8               	smoothSolver	6.06611910e-02	1.10662550e-03	4	8.42929140e-02	1.28904390e-03	4	false	smoothSolver	4.12643970e-02	1.15661450e-03	4	true	smoothSolver	1.75565960e-03	8.81920100e-05	4	true	GAMG	2.40914200e-01	1.62885460e-02	2	true
9               	smoothSolver	6.65878990e-02	1.29365310e-03	4	8.59914480e-02	1.38609810e-03	4	false	smoothSolver	3.12628790e-02	9.33065430e-04	4	true	smoothSolver	1.46779840e-03	7.70263700e-05	4	true	GAMG	2.17516180e-01	2.08343040e-02	1	true
10              	smoothSolver	6.12006620e-02	1.17022310e-03	4	7.70890060e-02	1.37661770e-03	4	false	smoothSolver	2.40572950e-02	7.85197900e-04	4	true	smoothSolver	1.22326540e-03	6.87734150e-05	4	true	GAMG	2.10410500e-01	1.06220640e-02	2	true
11              	smoothSolver	4.97431440e-02	9.37764940e-04	4	6.21876630e-02	1.17671610e-03	4	false	smoothSolver	1.93777650e-02	6.72394680e-04	4	true	smoothSolver	1.16948260e-03	6.72072300e-05	4	true	GAMG	2.09128670e-01	1.56579890e-02	2	true
12              	smoothSolver	3.93610130e-02	7.46115360e-04	4	5.01366480e-02	9.49233390e-04	4	false	smoothSolver	1.65412160e-02	5.88084940e-04	4	true	smoothSolver	1.13435510e-03	6.68496730e-05	4	true	GAMG	2.22352520e-01	1.81561790e-02	2	true
13              	smoothSolver	3.28150750e-02	5.91177800e-04	4	4.70153820e-02	7.76831060e-04	4	false	smoothSolver	1.44562930e-02	5.29812100e-04	4	true	smoothSolver	1.11351570e-03	6.56670450e-05	4	true	GAMG	2.31975330e-01	1.72912050e-02	2	true
14              	smoothSolver	3.05728770e-02	5.43817630e-04	4	4.95983840e-02	7.80773750e-04	4	false	smoothSolver	1.27542700e-02	4.76886600e-04	4	true	smoothSolver	1.07313690e-03	6.19425830e-05	4	true	GAMG	2.41651290e-01	1.24956410e-02	2	true
15              	smoothSolver	2.74570320e-02	5.29896480e-04	4	4.90427720e-02	8.23933510e-04	4	false	smoothSolver	1.12375090e-02	4.28443210e-04	4	true	smoothSolver	1.00469790e-03	5.89245410e-05	4	true	GAMG	2.54613130e-01	2.40733190e-02	1	true
16              	smoothSolver	2.29294150e-02	4.79871370e-04	4	4.43148720e-02	7.97884390e-04	4	false	smoothSolver	9.92867350e-03	3.84580060e-04	4	true	smoothSolver	9.35619260e-04	5.53928420e-05	4	true	GAMG	2.66029520e-01	2.44918910e-02	1	true
17              	smoothSolver	1.85885360e-02	4.08402640e-04	4	3.69630470e-02	6.83152420e-04	4	false	smoothSolver	8.82619740e-03	3.46939590e-04	4	true	smoothSolver	9.00766700e-04	5.34793270e-05	4	true	GAMG	2.70216020e-01	1.23303280e-02	2	true
18              	smoothSolver	1.59849270e-02	3.80620310e-04	4	2.95082030e-02	5.77774070e-04	4	false	smoothSolver	7.88346470e-03	3.12559630e-04	4	true	smoothSolver	8.76039640e-04	5.21142420e-05	4	true	GAMG	2.72562080e-01	1.41420200e-02	2	true
19              	smoothSolver	1.57949940e-02	4.14000280e-04	4	2.40416990e-02	4.67225180e-04	4	false	smoothSolver	7.12541150e-03	2.83395720e-04	4	true	smoothSolver	8.53930830e-04	5.11908510e-05	4	true	GAMG	2.54837460e-01	1.26989300e-02	2	true
20              	smoothSolver	1.64377160e-02	4.81167820e-04	4	2.06643250e-02	3.95574290e-04	4	false	smoothSolver	6.46275060e-03	2.58023000e-04	4	true	smoothSolver	8.24894610e-04	4.95159690e-05	4	true	GAMG	2.29462490e-01	2.27007980e-02	1	true
21              	smoothSolver	1.67663880e-02	5.18491450e-04	4	1.87167430e-02	3.76010920e-04	4	false	smoothSolver	5.88041590e-03	2.35165030e-04	4	true	smoothSolver	7.90643000e-04	4.77033530e-05	4	true	GAMG	2.03877060e-01	5.60437180e-03	2	true
22              	smoothSolver	1.63020190e-02	5.29687430e-04	4	1.74596400e-02	3.68057440e-04	4	false	smoothSolver	5.37099460e-03	2.14340380e-04	4	true	smoothSolver	7.58471770e-04	4.57461650e-05	4	true	GAMG	1.80978680e-01	5.10943350e-03	2	true
23              	smoothSolver	1.51962780e-02	5.02054140e-04	4	1.64955820e-02	3.57600530e-04	4	false	smoothSolver	4.93327520e-03	1.96293660e-04	4	true	smoothSolver	7.25763780e-04	4.38639550e-05	4	true	GAMG	1.67347390e-01	1.59257210e-02	1	true
24              	smoothSolver	1.38269410e-02	4.54973900e-04	4	1.61677580e-02	3.47984000e-04	4	false	smoothSolver	4.54262510e-03	1.80342350e-04	4	true	smoothSolver	6.99709570e-04	4.21393240e-05	4	true	GAMG	1.59544470e-01	1.52126840e-02	1	true
25              	smoothSolver	1.27685070e-02	4.07304510e-04	4	1.66113480e-02	3.44217260e-04	4	false	smoothSolver	4.19475710e-03	1.66256570e-04	4	true	smoothSolver	6.76815810e-04	4.06629840e-05	4	true	GAMG	1.55510100e-01	1.51256480e-02	1	true
26              	smoothSolver	1.18170780e-02	3.76241490e-04	4	1.69672350e-02	3.48770210e-04	4	false	smoothSolver	3.88849820e-03	1.53166850e-04	4	true	smoothSolver	6.51209970e-04	3.87828420e-05	4	true	GAMG	1.55965860e-01	4.59737280e-03	2	true
27              	smoothSolver	1.12678450e-02	3.53862760e-04	4	1.71162230e-02	3.46565280e-04	4	false	smoothSolver	3.61272660e-03	1.41416960e-04	4	true	smoothSolver	6.26322370e-04	3.71497950e-05	4	true	GAMG	1.54174730e-01	3.83973580e-03	2	true
28              	smoothSolver	1.08019610e-02	3.45547020e-04	4	1.66865310e-02	3.41807680e-04	4	false	smoothSolver	3.36082540e-03	1.30811360e-04	4	true	smoothSolver	6.01851630e-04	3.54564970e-05	4	true	GAMG	1.54035620e-01	3.73107820e-03	2	true
29              	smoothSolver	1.06002520e-02	3.42475810e-04	4	1.58539150e-02	3.22964490e-04	4	false	smoothSolver	3.13563150e-03	1.21239190e-04	4	true	smoothSolver	5.77182770e-04	3.37976030e-05	4	true	GAMG	1.47725330e-01	3.88286540e-03	2	true
30              	smoothSolver	1.05156500e-02	3.50915140e-04	4	1.48526280e-02	3.06994610e-04	4	false	smoothSolver	2.92617660e-03	1.12569930e-04	4	true	smoothSolver	5.52489140e-04	3.22456210e-05	4	true	GAMG	1.45156840e-01	1.44493420e-02	1	true
31              	smoothSolver	1.05439850e-02	3.62492230e-04	4	1.39375100e-02	2.83266150e-04	4	false	smoothSolver	2.73757910e-03	1.04657390e-04	4	true	smoothSolver	5.28955280e-04	3.08759410e-05	4	true	GAMG	1.37899230e-01	3.61734860e-03	2	true
32              	smoothSolver	1.05355270e-02	3.70513400e-04	4	1.31289590e-02	2.64870950e-04	4	false	smoothSolver	2.56356120e-03	9.72274100e-05	4	true	smoothSolver	5.05259950e-04	2.93062380e-05	4	true	GAMG	1.31394520e-01	3.27471090e-03	2	true
33              	smoothSolver	1.04895230e-02	3.71942070e-04	4	1.26756770e-02	2.56223970e-04	4	false	smoothSolver	2.40613620e-03	9.06327820e-05	4	true	smoothSolver	4.83115230e-04	2.79580280e-05	4	true	GAMG	1.21134680e-01	3.10829190e-03	2	true
34              	smoothSolver	1.03372500e-02	3.68331050e-04	4	1.24085460e-02	2.56185930e-04	4	false	smoothSolver	2.26281300e-03	8.46803020e-05	4	true	smoothSolver	4.60962760e-04	2.65854360e-05	4	true	GAMG	1.13505710e-01	2.84752380e-03	2	true
35              	smoothSolver	1.00858800e-02	3.57237270e-04	4	1.23405110e-02	2.54998280e-04	4	false	smoothSolver	2.13342500e-03	7.90399120e-05	4	true	smoothSolver	4.39305410e-04	2.51926310e-05	4	true	GAMG	1.06668110e-01	2.46145480e-03	2	true
36              	smoothSolver	9.81999460e-03	3.44728880e-04	4	1.23199970e-02	2.54550900e-04	4	false	smoothSolver	2.01820290e-03	7.40170630e-05	4	true	smoothSolver	4.19150480e-04	2.39533670e-05	4	true	GAMG	1.01668270e-01	2.36706380e-03	2	true
37              	smoothSolver	9.64326840e-03	3.32602890e-04	4	1.23685930e-02	2.51762160e-04	4	false	smoothSolver	1.91402670e-03	6.93946190e-05	4	true	smoothSolver	3.99883520e-04	2.27909830e-05	4	true	GAMG	9.84776960e-02	2.30503130e-03	2	true
38              	smoothSolver	9.40788230e-03	3.24719820e-04	4	1.22754350e-02	2.55571820e-04	4	false	smoothSolver	1.82273830e-03	6.54185420e-05	4	true	smoothSolver	3.81626590e-04	2.16810940e-05	4	true	GAMG	9.45534500e-02	2.48479490e-03	2	true
39              	smoothSolver	9.28393270e-03	3.19557920e-04	4	1.21202730e-02	2.46173800e-04	4	false	smoothSolver	1.73634200e-03	6.17029640e-05	4	true	smoothSolver	3.63928170e-04	2.06302760e-05	4	true	GAMG	8.88472390e-02	2.30766360e-03	2	true
40              	smoothSolver	9.18922960e-03	3.15544700e-04	4	1.19316590e-02	2.45216170e-04	4	false	smoothSolver	1.66127660e-03	5.83237450e-05	4	true	smoothSolver	3.48139940e-04	1.96463230e-05	4	true	GAMG	8.58994810e-02	2.20138740e-03	2	true
41              	smoothSolver	9.12346810e-03	3.10641690e-04	4	1.16878690e-02	2.35694770e-04	4	false	smoothSolver	1.59369680e-03	5.53549730e-05	4	true	smoothSolver	3.32261230e-04	1.87176850e-05	4	true	GAMG	8.32227240e-02	2.06809250e-03	2	true
42              	smoothSolver	9.06184840e-03	3.10100640e-04	4	1.14358300e-02	2.35282750e-04	4	false	smoothSolver	1.53216350e-03	5.26412490e-05	4	true	smoothSolver	3.18089880e-04	1.77910430e-05	4	true	GAMG	8.04426400e-02	1.98646360e-03	2	true
43              	smoothSolver	9.01250630e-03	3.08620830e-04	4	1.12265280e-02	2.25453560e-04	4	false	smoothSolver	1.47789490e-03	5.01427550e-05	4	true	smoothSolver	3.04148050e-04	1.69468360e-05	4	true	GAMG	7.94873180e-02	1.96003330e-03	2	true
44              	smoothSolver	8.90625430e-03	3.07838740e-04	4	1.10130170e-02	2.25327130e-04	4	false	smoothSolver	1.43036780e-03	4.79516450e-05	4	true	smoothSolver	2.91158230e-04	1.61591850e-05	4	true	GAMG	7.62962140e-02	2.02108950e-03	2	true
45              	smoothSolver	8.86477030e-03	3.05699880e-04	4	1.08675810e-02	2.20263120e-04	4	false	smoothSolver	1.38770010e-03	4.59817340e-05	4	true	smoothSolver	2.79291250e-04	1.54058590e-05	4	true	GAMG	7.41300270e-02	1.97100630e-03	2	true
46              	smoothSolver	8.72796320e-03	3.02819390e-04	4	1.07137530e-02	2.20387000e-04	4	false	smoothSolver	1.35022540e-03	4.43925850e-05	4	true	smoothSolver	2.68528060e-04	1.47578800e-05	4	true	GAMG	7.27783190e-02	2.13696140e-03	2	true
47              	smoothSolver	8.64914570e-03	2.98949650e-04	4	1.05720470e-02	2.18313750e-04	4	false	smoothSolver	1.31859110e-03	4.29800590e-05	4	true	smoothSolver	2.58405220e-04	1.41229760e-05	4	true	GAMG	6.94721020e-02	1.92919840e-03	2	true
48              	smoothSolver	8.56046620e-03	2.94948070e-04	4	1.04521880e-02	2.11870970e-04	4	false	smoothSolver	1.29160350e-03	4.18367360e-05	4	true	smoothSolver	2.48410010e-04	1.35428460e-05	4	true	GAMG	6.85291670e-02	1.94234470e-03	2	true
49              	smoothSolver	8.48870660e-03	2.92437920e-04	4	1.03241780e-02	2.11426240e-04	4	false	smoothSolver	1.27284220e-03	4.09283460e-05	4	true	smoothSolver	2.39884310e-04	1.30413110e-05	4	true	GAMG	6.65433620e-02	1.80205980e-03	2	true
50              	smoothSolver	8.41642100e-03	2.89495630e-04	4	1.01735860e-02	2.09301580e-04	4	false	smoothSolver	1.25961910e-03	4.03180540e-05	4	true	smoothSolver	2.32020730e-04	1.25655640e-05	4	true	GAMG	6.40942320e-02	1.81456010e-03	2	true
51              	smoothSolver	8.35541800e-03	2.85843410e-04	4	1.00852920e-02	2.04760900e-04	4	false	smoothSolver	1.25097940e-03	3.97796590e-05	4	true	smoothSolver	2.25284220e-04	1.21381650e-05	4	true	GAMG	6.32041540e-02	1.68190750e-03	2	true
52              	smoothSolver	8.28289640e-03	2.83333060e-04	4	9.93537490e-03	2.02345790e-04	4	false	smoothSolver	1.24564270e-03	3.94224860e-05	4	true	smoothSolver	2.19369400e-04	1.17346710e-05	4	true	GAMG	6.17859470e-02	1.62038570e-03	2	true
53              	smoothSolver	8.20705270e-03	2.80126100e-04	4	9.80548170e-03	1.99894490e-04	4	false	smoothSolver	1.24404180e-03	3.92549250e-05	4	true	smoothSolver	2.12960580e-04	1.13680810e-05	4	true	GAMG	5.97988470e-02	1.62588200e-03	2	true
54              	smoothSolver	8.13690420e-03	2.79492440e-04	4	9.70552270e-03	1.96024120e-04	4	false	smoothSolver	1.24427720e-03	3.91387110e-05	4	true	smoothSolver	2.07050580e-04	1.10642340e-05	4	true	GAMG	5.93266250e-02	1.70568470e-03	2	true
55              	smoothSolver	8.08805720e-03	2.76669650e-04	4	9.56092300e-03	1.92602280e-04	4	false	smoothSolver	1.24883530e-03	3.91507010e-05	4	true	smoothSolver	2.03001570e-04	1.08145750e-05	4	true	GAMG	5.65836580e-02	1.67716630e-03	2	true
56              	smoothSolver	8.03330970e-03	2.76285800e-04	4	9.43481630e-03	1.92505050e-04	4	false	smoothSolver	1.25316230e-03	3.92243930e-05	4	true	smoothSolver	1.99146350e-04	1.06011980e-05	4	true	GAMG	5.62217390e-02	1.64851960e-03	2	true
57              	smoothSolver	8.00597970e-03	2.72989960e-04	4	9.30918990e-03	1.87662120e-04	4	false	smoothSolver	1.25897720e-03	3.92482660e-05	4	true	smoothSolver	1.95657860e-04	1.03640460e-05	4	true	GAMG	5.56619380e-02	1.51429590e-03	2	true
58              	smoothSolver	7.90119140e-03	2.69888020e-04	4	9.19246020e-03	1.87568020e-04	4	false	smoothSolver	1.26450050e-03	3.93553100e-05	4	true	smoothSolver	1.92631320e-04	1.01849050e-05	4	true	GAMG	5.65205950e-02	1.52248370e-03	2	true
59              	smoothSolver	7.83098850e-03	2.66847010e-04	4	9.06216300e-03	1.85751080e-04	4	false	smoothSolver	1.26960290e-03	3.92256910e-05	4	true	smoothSolver	1.90424390e-04	9.96786060e-06	4	true	GAMG	5.48714670e-02	1.47848880e-03	2	true
60              	smoothSolver	7.74795430e-03	2.63693760e-04	4	8.97613120e-03	1.83246070e-04	4	false	smoothSolver	1.27493870e-03	3.92031080e-05	4	true	smoothSolver	1.88564310e-04	9.74782080e-06	4	true	GAMG	5.45923680e-02	1.52167270e-03	2	true
61              	smoothSolver	7.68519180e-03	2.63429190e-04	4	8.85831830e-03	1.82347160e-04	4	false	smoothSolver	1.27885020e-03	3.93283090e-05	4	true	smoothSolver	1.85861490e-04	9.57253780e-06	4	true	GAMG	5.23393480e-02	1.47349770e-03	2	true
62              	smoothSolver	7.59326760e-03	2.59386710e-04	4	8.75501970e-03	1.79532140e-04	4	false	smoothSolver	1.28364710e-03	3.94259220e-05	4	true	smoothSolver	1.84071140e-04	9.39239500e-06	4	true	GAMG	5.24331050e-02	1.57704250e-03	2	true
63              	smoothSolver	7.56423510e-03	2.58537870e-04	4	8.65081700e-03	1.77015500e-04	4	false	smoothSolver	1.28974810e-03	3.95659760e-05	4	true	smoothSolver	1.82267440e-04	9.24751610e-06	4	true	GAMG	5.10966180e-02	1.53881040e-03	2	true
64              	smoothSolver	7.50204830e-03	2.54430090e-04	4	8.57057790e-03	1.75059940e-04	4	false	smoothSolver	1.29405710e-03	3.97110210e-05	4	true	smoothSolver	1.79891170e-04	9.16688870e-06	4	true	GAMG	5.11090060e-02	1.53454890e-03	2	true
65              	smoothSolver	7.47421500e-03	2.54394730e-04	4	8.47436660e-03	1.74351170e-04	4	false	smoothSolver	1.29871940e-03	3.97886770e-05	4	true	smoothSolver	1.78113280e-04	9.01347940e-06	4	true	GAMG	4.98514040e-02	1.44188560e-03	2	true
