# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
23              	smoothSolver	8.36361830e-03	2.01119570e-04	4	6.89483710e-03	1.35422190e-04	4	false	smoothSolver	3.43911170e-03	1.58848410e-04	4	true	smoothSolver	7.07489710e-04	4.31035090e-05	4	true	GAMG	9.23199830e-02	8.68724750e-03	1	true
24              	smoothSolver	7.84039980e-03	1.85974320e-04	4	6.53697410e-03	1.28788740e-04	4	false	smoothSolver	3.17558200e-03	1.46078360e-04	4	true	smoothSolver	6.81476830e-04	4.15742390e-05	4	true	GAMG	8.89246300e-02	8.84156890e-03	1	true
25              	smoothSolver	7.65614060e-03	1.80249210e-04	4	6.37019000e-03	1.22881580e-04	4	false	smoothSolver	2.93686200e-03	1.34436670e-04	4	true	smoothSolver	6.57014420e-04	4.00484410e-05	4	true	GAMG	9.50146250e-02	3.17552540e-03	2	true
26              	smoothSolver	7.56206070e-03	1.73634660e-04	4	6.26669100e-03	1.18302350e-04	4	false	smoothSolver	2.71654250e-03	1.23605120e-04	4	true	smoothSolver	6.33554780e-04	3.84654650e-05	4	true	GAMG	9.25175270e-02	2.93020840e-03	2	true
27              	smoothSolver	7.35091670e-03	1.68244320e-04	4	6.04401570e-03	1.13083480e-04	4	false	smoothSolver	2.51300870e-03	1.13525380e-04	4	true	smoothSolver	6.08522960e-04	3.68173460e-05	4	true	GAMG	9.00340240e-02	2.75629070e-03	2	true
28              	smoothSolver	7.08877430e-03	1.62199210e-04	4	5.82972870e-03	1.10831750e-04	4	false	smoothSolver	2.32437930e-03	1.04473810e-04	4	true	smoothSolver	5.83660920e-04	3.52349970e-05	4	true	GAMG	8.23368250e-02	2.63638820e-03	2	true
29              	smoothSolver	6.81733850e-03	1.54671960e-04	4	5.63456010e-03	1.05225040e-04	4	false	smoothSolver	2.14916060e-03	9.59274310e-05	4	true	smoothSolver	5.58703240e-04	3.35140710e-05	4	true	GAMG	6.90618170e-02	2.14907680e-03	2	true
30              	smoothSolver	6.64735430e-03	1.49303730e-04	4	5.45884730e-03	1.04769200e-04	4	false	smoothSolver	1.98625960e-03	8.80922710e-05	4	true	smoothSolver	5.34172260e-04	3.18780630e-05	4	true	GAMG	6.47158600e-02	1.80790430e-03	2	true
31              	smoothSolver	6.51443130e-03	1.46587380e-04	4	5.32946860e-03	1.01062940e-04	4	false	smoothSolver	1.83571680e-03	8.09696420e-05	4	true	smoothSolver	5.10518750e-04	3.03214370e-05	4	true	GAMG	5.42441300e-02	1.44791210e-03	2	true
32              	smoothSolver	6.41740910e-03	1.47996490e-04	4	5.23215880e-03	1.00261180e-04	4	false	smoothSolver	1.69713320e-03	7.45204170e-05	4	true	smoothSolver	4.87625020e-04	2.88688040e-05	4	true	GAMG	5.02422030e-02	1.40422250e-03	2	true
33              	smoothSolver	6.30090500e-03	1.44668240e-04	4	5.12230120e-03	9.68205930e-05	4	false	smoothSolver	1.56805110e-03	6.85872220e-05	4	true	smoothSolver	4.66114370e-04	2.74731080e-05	4	true	GAMG	4.59825530e-02	1.18196580e-03	2	true
34              	smoothSolver	6.20059430e-03	1.43549140e-04	4	5.05382550e-03	9.77828610e-05	4	false	smoothSolver	1.44863870e-03	6.32434670e-05	4	true	smoothSolver	4.43925980e-04	2.61031440e-05	4	true	GAMG	4.50468440e-02	1.13208410e-03	2	true
35              	smoothSolver	6.11404310e-03	1.40476200e-04	4	5.00274580e-03	9.47299580e-05	4	false	smoothSolver	1.33850540e-03	5.82783640e-05	4	true	smoothSolver	4.22234530e-04	2.46969660e-05	4	true	GAMG	4.13982870e-02	4.13576030e-03	1	true
36              	smoothSolver	6.03350760e-03	1.38725470e-04	4	4.92160630e-03	9.17583520e-05	4	false	smoothSolver	1.23795380e-03	5.38321190e-05	4	true	smoothSolver	4.01583810e-04	2.34403290e-05	4	true	GAMG	3.77851980e-02	3.73548760e-03	1	true
37              	smoothSolver	5.93397400e-03	1.34681470e-04	4	4.84212830e-03	9.11602380e-05	4	false	smoothSolver	1.14579920e-03	4.96902740e-05	4	true	smoothSolver	3.81534600e-04	2.21916970e-05	4	true	GAMG	3.79806830e-02	9.47486240e-04	2	true
38              	smoothSolver	5.86615610e-03	1.33174450e-04	4	4.79290500e-03	9.09530150e-05	4	false	smoothSolver	1.06253590e-03	4.60401140e-05	4	true	smoothSolver	3.62584640e-04	2.10599790e-05	4	true	GAMG	3.75657720e-02	9.84777860e-04	2	true
39              	smoothSolver	5.78104180e-03	1.30150220e-04	4	4.75322320e-03	8.93526090e-05	4	false	smoothSolver	9.87247930e-04	4.27743360e-05	4	true	smoothSolver	3.45264290e-04	1.99914220e-05	4	true	GAMG	3.53300670e-02	9.17680300e-04	2	true
40              	smoothSolver	5.70927630e-03	1.28685260e-04	4	4.71858990e-03	8.87162590e-05	4	false	smoothSolver	9.16733120e-04	3.96685010e-05	4	true	smoothSolver	3.28254610e-04	1.89187800e-05	4	true	GAMG	3.34376200e-02	3.28771120e-03	1	true
41              	smoothSolver	5.63247220e-03	1.26827300e-04	4	4.63885220e-03	8.65949400e-05	4	false	smoothSolver	8.52098380e-04	3.68548000e-05	4	true	smoothSolver	3.13291310e-04	1.79702310e-05	4	true	GAMG	3.17039450e-02	3.09755070e-03	1	true
42              	smoothSolver	5.55416990e-03	1.24831550e-04	4	4.60257040e-03	8.72500290e-05	4	false	smoothSolver	7.93599650e-04	3.43227750e-05	4	true	smoothSolver	2.98612790e-04	1.70875420e-05	4	true	GAMG	3.09534410e-02	2.97421610e-03	1	true
43              	smoothSolver	5.51069700e-03	1.24692750e-04	4	4.56516550e-03	8.59867510e-05	4	false	smoothSolver	7.40399280e-04	3.19772620e-05	4	true	smoothSolver	2.84942720e-04	1.62350580e-05	4	true	GAMG	3.02944630e-02	2.90802850e-03	1	true
44              	smoothSolver	5.47145420e-03	1.22600420e-04	4	4.52389750e-03	8.32231650e-05	4	false	smoothSolver	6.91961800e-04	2.99959910e-05	4	true	smoothSolver	2.72810640e-04	1.55331040e-05	4	true	GAMG	2.80034850e-02	2.62439250e-03	1	true
45              	smoothSolver	5.41579500e-03	1.21936890e-04	4	4.50271900e-03	8.40409920e-05	4	false	smoothSolver	6.49111460e-04	2.81420430e-05	4	true	smoothSolver	2.60388650e-04	1.47568330e-05	4	true	GAMG	2.74047230e-02	2.55017990e-03	1	true
46              	smoothSolver	5.38318000e-03	1.21267450e-04	4	4.46294400e-03	8.23647250e-05	4	false	smoothSolver	6.11413810e-04	2.65470610e-05	4	true	smoothSolver	2.49450210e-04	1.41001530e-05	4	true	GAMG	2.68585820e-02	2.45622430e-03	1	true
47              	smoothSolver	5.33569380e-03	1.19273780e-04	4	4.43618280e-03	8.27139540e-05	4	false	smoothSolver	5.79799890e-04	2.51400860e-05	4	true	smoothSolver	2.39488580e-04	1.34755580e-05	4	true	GAMG	2.59026740e-02	2.36182760e-03	1	true
48              	smoothSolver	5.27720360e-03	1.17815970e-04	4	4.39565570e-03	4.39057890e-04	2	false	smoothSolver	5.54287300e-04	2.39741070e-05	4	true	smoothSolver	2.29461940e-04	1.29103950e-05	4	true	GAMG	2.61075950e-02	2.34530070e-03	1	true
49              	smoothSolver	5.24585320e-03	1.16162690e-04	4	4.35344830e-03	8.14951080e-05	4	false	smoothSolver	5.36006690e-04	2.31783780e-05	4	true	smoothSolver	2.21190750e-04	1.24196380e-05	4	true	GAMG	2.33640050e-02	2.16031130e-03	1	true
50              	smoothSolver	5.21046430e-03	1.16695800e-04	4	4.32760710e-03	8.23270360e-05	4	false	smoothSolver	5.23616000e-04	2.25637640e-05	4	true	smoothSolver	2.13489160e-04	1.19458010e-05	4	true	GAMG	2.38463900e-02	2.20754570e-03	1	true
51              	smoothSolver	5.16585590e-03	1.14713770e-04	4	4.29852700e-03	8.05291710e-05	4	false	smoothSolver	5.14856170e-04	2.21491450e-05	4	true	smoothSolver	2.06702120e-04	1.15465510e-05	4	true	GAMG	2.33738670e-02	2.21606550e-03	1	true
52              	smoothSolver	5.12451260e-03	1.12783840e-04	4	4.27882610e-03	7.96191360e-05	4	false	smoothSolver	5.09446370e-04	2.17949270e-05	4	true	smoothSolver	2.01079590e-04	1.11573100e-05	4	true	GAMG	2.46686710e-02	2.22091270e-03	1	true
53              	smoothSolver	5.07919830e-03	1.10645850e-04	4	4.23532110e-03	4.21768250e-04	2	false	smoothSolver	5.06503260e-04	2.15630170e-05	4	true	smoothSolver	1.95738970e-04	1.08039480e-05	4	true	GAMG	2.32845100e-02	2.07051320e-03	1	true
54              	smoothSolver	5.00442690e-03	1.09469130e-04	4	4.21998390e-03	7.85659640e-05	4	false	smoothSolver	5.04296570e-04	2.15035460e-05	4	true	smoothSolver	1.90698490e-04	1.05441430e-05	4	true	GAMG	2.35387010e-02	2.09212090e-03	1	true
55              	smoothSolver	4.95792320e-03	1.06687850e-04	4	4.19317830e-03	4.16560060e-04	2	false	smoothSolver	5.03266300e-04	2.13050930e-05	4	true	smoothSolver	1.85925400e-04	1.02234570e-05	4	true	GAMG	2.36016880e-02	2.05553910e-03	1	true
56              	smoothSolver	4.89754070e-03	1.05688740e-04	4	4.14933210e-03	7.71991780e-05	4	false	smoothSolver	5.03280680e-04	2.12706240e-05	4	true	smoothSolver	1.82036080e-04	9.99112380e-06	4	true	GAMG	2.27719240e-02	2.00660350e-03	1	true
