# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
1               	smoothSolver	9.99999870e-01	7.28492910e-02	4	9.99999990e-01	2.49336050e-02	4	false	smoothSolver	1.00000000e+00	2.71170940e-02	4	true	smoothSolver	1.06310740e-02	5.32014730e-04	4	true	GAMG	1.00000000e+00	8.91954660e-02	5	true
2               	smoothSolver	3.60217750e-01	3.56370260e-02	2	5.58739680e-01	5.43094120e-02	2	false	smoothSolver	5.94555320e-01	1.22841550e-02	4	true	smoothSolver	3.70204500e-03	1.79298510e-04	4	true	GAMG	1.81375770e-01	8.39466060e-03	3	true
3               	smoothSolver	2.09961230e-01	3.78831870e-03	4	4.02718810e-01	6.65096970e-03	4	false	smoothSolver	3.68676080e-01	7.76437680e-03	4	true	smoothSolver	3.84353740e-03	1.71008410e-04	4	true	GAMG	1.56047040e-01	6.54329900e-03	2	true
4               	smoothSolver	1.21103310e-01	2.07292570e-03	4	2.76764950e-01	4.25517120e-03	4	false	smoothSolver	2.35575870e-01	5.24792830e-03	4	true	smoothSolver	4.30442310e-03	1.95793110e-04	4	true	GAMG	1.58959100e-01	1.57057540e-02	2	true
5               	smoothSolver	7.47404080e-02	1.31612900e-03	4	1.86309420e-01	2.86615070e-03	4	false	smoothSolver	1.65966760e-01	3.80528780e-03	4	true	smoothSolver	4.73252390e-03	2.05479880e-04	4	true	GAMG	1.63613830e-01	8.86776530e-03	3	true
6               	smoothSolver	5.48901170e-02	7.57241970e-04	4	1.21039110e-01	1.76865690e-03	4	false	smoothSolver	1.23326610e-01	2.87189590e-03	4	true	smoothSolver	4.35909830e-03	1.82148270e-04	4	true	GAMG	1.86642190e-01	1.08529470e-02	3	true
7               	smoothSolver	5.54984160e-02	5.05157950e-03	2	1.00437180e-01	8.41087680e-03	2	false	smoothSolver	9.51218940e-02	2.22883300e-03	4	true	smoothSolver	3.55694110e-03	1.47841920e-04	4	true	GAMG	2.10164090e-01	1.02662390e-02	3	true
8               	smoothSolver	6.89186070e-02	1.01915620e-03	4	1.07389130e-01	9.78459720e-03	2	false	smoothSolver	7.67484660e-02	1.84151050e-03	4	true	smoothSolver	3.09700740e-03	1.25357170e-04	4	true	GAMG	2.54235290e-01	1.72606680e-02	2	true
9               	smoothSolver	7.61527750e-02	1.17824360e-03	4	1.09794500e-01	1.63000490e-03	4	false	smoothSolver	6.15029620e-02	1.56521970e-03	4	true	smoothSolver	2.39450090e-03	1.06265160e-04	4	true	GAMG	2.28378240e-01	2.08512070e-02	1	true
10              	smoothSolver	7.08507820e-02	1.10387570e-03	4	9.92264200e-02	1.51253950e-03	4	false	smoothSolver	5.02934100e-02	1.28664170e-03	4	true	smoothSolver	2.13596920e-03	9.23382120e-05	4	true	GAMG	2.08843580e-01	1.13720990e-02	2	true
