# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
23              	smoothSolver	1.70347520e-02	5.32235600e-04	4	2.04012160e-02	3.99749870e-04	4	false	smoothSolver	7.39322870e-03	2.48091070e-04	4	true	smoothSolver	7.59389850e-04	4.38668050e-05	4	true	GAMG	2.18734960e-01	2.03474590e-02	1	true
24              	smoothSolver	1.54889270e-02	4.90589420e-04	4	2.02200220e-02	3.87517020e-04	4	false	smoothSolver	6.83115900e-03	2.28604370e-04	4	true	smoothSolver	7.33413290e-04	4.23846680e-05	4	true	GAMG	2.04994300e-01	1.91010860e-02	1	true
25              	smoothSolver	1.41171010e-02	4.36888120e-04	4	2.10568780e-02	3.91248440e-04	4	false	smoothSolver	6.34496780e-03	2.10714830e-04	4	true	smoothSolver	7.11739570e-04	4.10969350e-05	4	true	GAMG	1.95091780e-01	1.84151360e-02	1	true
26              	smoothSolver	1.30484330e-02	4.00160560e-04	4	2.17748280e-02	4.06371360e-04	4	false	smoothSolver	5.92499480e-03	1.95328670e-04	4	true	smoothSolver	6.88338260e-04	3.97606720e-05	4	true	GAMG	1.89655100e-01	1.88369000e-02	1	true
27              	smoothSolver	1.21526240e-02	3.73619810e-04	4	2.20577910e-02	4.28085680e-04	4	false	smoothSolver	5.54117340e-03	1.81301140e-04	4	true	smoothSolver	6.62701230e-04	3.80552110e-05	4	true	GAMG	1.88573110e-01	4.64116880e-03	2	true
28              	smoothSolver	1.15927670e-02	3.65685630e-04	4	2.14386930e-02	4.19159160e-04	4	false	smoothSolver	5.19863330e-03	1.68861240e-04	4	true	smoothSolver	6.36960020e-04	3.64447060e-05	4	true	GAMG	1.87789970e-01	4.40736430e-03	2	true
29              	smoothSolver	1.12751750e-02	3.62348380e-04	4	2.03883990e-02	3.94703730e-04	4	false	smoothSolver	4.87841740e-03	1.56866990e-04	4	true	smoothSolver	6.10727010e-04	3.47543700e-05	4	true	GAMG	1.94264650e-01	1.92577310e-02	1	true
30              	smoothSolver	1.11737660e-02	3.75492770e-04	4	1.90145330e-02	3.65215560e-04	4	false	smoothSolver	4.59240860e-03	1.46030650e-04	4	true	smoothSolver	5.86628010e-04	3.33709450e-05	4	true	GAMG	1.94324920e-01	5.64766900e-03	2	true
31              	smoothSolver	1.12476720e-02	3.85912080e-04	4	1.77327080e-02	3.35906400e-04	4	false	smoothSolver	4.33909590e-03	1.36100910e-04	4	true	smoothSolver	5.62722960e-04	3.17864640e-05	4	true	GAMG	1.98440690e-01	5.34440020e-03	2	true
32              	smoothSolver	1.12441680e-02	3.95894470e-04	4	1.67372990e-02	3.20243670e-04	4	false	smoothSolver	4.10934450e-03	1.27404330e-04	4	true	smoothSolver	5.39706520e-04	3.03098540e-05	4	true	GAMG	1.98068710e-01	4.87147580e-03	2	true
33              	smoothSolver	1.12631550e-02	3.98566250e-04	4	1.61464700e-02	3.11266080e-04	4	false	smoothSolver	3.88774700e-03	1.19067090e-04	4	true	smoothSolver	5.16972090e-04	2.88724700e-05	4	true	GAMG	1.91170340e-01	4.85643040e-03	2	true
34              	smoothSolver	1.10413810e-02	3.97101820e-04	4	1.57665550e-02	3.09695620e-04	4	false	smoothSolver	3.70146410e-03	1.12217470e-04	4	true	smoothSolver	4.95429350e-04	2.75977520e-05	4	true	GAMG	1.83284750e-01	4.60056870e-03	2	true
35              	smoothSolver	1.08596990e-02	3.86048990e-04	4	1.56715860e-02	3.01582470e-04	4	false	smoothSolver	3.52913190e-03	1.05370370e-04	4	true	smoothSolver	4.74549220e-04	2.62110740e-05	4	true	GAMG	1.70825890e-01	4.17512650e-03	2	true
36              	smoothSolver	1.05445880e-02	3.72795000e-04	4	1.56392540e-02	3.01420350e-04	4	false	smoothSolver	3.37921060e-03	9.94350100e-05	4	true	smoothSolver	4.54054060e-04	2.49686630e-05	4	true	GAMG	1.59377000e-01	3.89670200e-03	2	true
37              	smoothSolver	1.03410930e-02	3.63259320e-04	4	1.57256010e-02	2.99584610e-04	4	false	smoothSolver	3.24442390e-03	9.40386270e-05	4	true	smoothSolver	4.34819830e-04	2.37603920e-05	4	true	GAMG	1.48681800e-01	3.63764640e-03	2	true
38              	smoothSolver	1.00927870e-02	3.53405090e-04	4	1.56373090e-02	3.07101750e-04	4	false	smoothSolver	3.12934570e-03	8.91533230e-05	4	true	smoothSolver	4.16706440e-04	2.26959180e-05	4	true	GAMG	1.37702680e-01	3.52912720e-03	2	true
39              	smoothSolver	9.96906280e-03	3.47265290e-04	4	1.55016570e-02	3.00881260e-04	4	false	smoothSolver	3.02494320e-03	8.49181600e-05	4	true	smoothSolver	3.99406200e-04	2.16583340e-05	4	true	GAMG	1.31822830e-01	3.46651990e-03	2	true
40              	smoothSolver	9.86379960e-03	3.43657560e-04	4	1.51555800e-02	2.97014110e-04	4	false	smoothSolver	2.93198380e-03	8.09560960e-05	4	true	smoothSolver	3.83677520e-04	2.06799160e-05	4	true	GAMG	1.26410500e-01	3.28662550e-03	2	true
41              	smoothSolver	9.85770630e-03	3.41445590e-04	4	1.49449220e-02	2.86204800e-04	4	false	smoothSolver	2.84888530e-03	7.72374630e-05	4	true	smoothSolver	3.67884030e-04	1.97586130e-05	4	true	GAMG	1.24289400e-01	3.31881930e-03	2	true
42              	smoothSolver	9.81811020e-03	3.40970110e-04	4	1.46066780e-02	2.84432130e-04	4	false	smoothSolver	2.76938340e-03	7.40187140e-05	4	true	smoothSolver	3.53384220e-04	1.89134540e-05	4	true	GAMG	1.21222480e-01	3.18635170e-03	2	true
43              	smoothSolver	9.80989500e-03	3.39711980e-04	4	1.42817330e-02	2.79972480e-04	4	false	smoothSolver	2.70387670e-03	7.12357060e-05	4	true	smoothSolver	3.39408010e-04	1.81045460e-05	4	true	GAMG	1.21153130e-01	3.08464540e-03	2	true
44              	smoothSolver	9.71686360e-03	3.38817100e-04	4	1.40113740e-02	2.71546300e-04	4	false	smoothSolver	2.63988580e-03	6.86314120e-05	4	true	smoothSolver	3.26745120e-04	1.73067200e-05	4	true	GAMG	1.18057450e-01	3.06590410e-03	2	true
45              	smoothSolver	9.66531760e-03	3.35302100e-04	4	1.38047350e-02	2.69227450e-04	4	false	smoothSolver	2.58702200e-03	6.63540570e-05	4	true	smoothSolver	3.14227710e-04	1.65622130e-05	4	true	GAMG	1.17482100e-01	3.08837270e-03	2	true
46              	smoothSolver	9.58157830e-03	3.31637780e-04	4	1.36336220e-02	2.62617140e-04	4	false	smoothSolver	2.54160100e-03	6.44286890e-05	4	true	smoothSolver	3.03107220e-04	1.58285210e-05	4	true	GAMG	1.14215150e-01	3.10180320e-03	2	true
47              	smoothSolver	9.52368840e-03	3.27973620e-04	4	1.34664510e-02	2.63933070e-04	4	false	smoothSolver	2.49825610e-03	6.26363280e-05	4	true	smoothSolver	2.92759380e-04	1.51259330e-05	4	true	GAMG	1.14144930e-01	3.11775440e-03	2	true
48              	smoothSolver	9.39117390e-03	3.23049750e-04	4	1.32720110e-02	2.56027850e-04	4	false	smoothSolver	2.46400740e-03	6.11929510e-05	4	true	smoothSolver	2.83578480e-04	1.45290070e-05	4	true	GAMG	1.09018450e-01	3.00597740e-03	2	true
49              	smoothSolver	9.31536890e-03	3.19344660e-04	4	1.31491460e-02	2.55165970e-04	4	false	smoothSolver	2.43978950e-03	6.02168460e-05	4	true	smoothSolver	2.74906980e-04	1.40170150e-05	4	true	GAMG	1.07024690e-01	3.02328580e-03	2	true
50              	smoothSolver	9.25286810e-03	3.16453020e-04	4	1.29790730e-02	2.52640970e-04	4	false	smoothSolver	2.41369350e-03	5.94672810e-05	4	true	smoothSolver	2.66412600e-04	1.35945600e-05	4	true	GAMG	1.06103090e-01	2.97627050e-03	2	true
51              	smoothSolver	9.21819790e-03	3.14742940e-04	4	1.28713440e-02	2.49857750e-04	4	false	smoothSolver	2.40012390e-03	5.90387410e-05	4	true	smoothSolver	2.59560890e-04	1.32481720e-05	4	true	GAMG	1.03576960e-01	2.82351680e-03	2	true
52              	smoothSolver	9.10255990e-03	3.10317990e-04	4	1.26611460e-02	2.44618720e-04	4	false	smoothSolver	2.38948040e-03	5.88487170e-05	4	true	smoothSolver	2.53061740e-04	1.29283000e-05	4	true	GAMG	9.95111120e-02	2.82451830e-03	2	true
53              	smoothSolver	9.09548460e-03	3.09301490e-04	4	1.25262060e-02	2.43534570e-04	4	false	smoothSolver	2.38661450e-03	5.86214150e-05	4	true	smoothSolver	2.47172920e-04	1.25872750e-05	4	true	GAMG	9.79096490e-02	2.85216720e-03	2	true
54              	smoothSolver	8.99387970e-03	3.05708680e-04	4	1.23434810e-02	2.42517900e-04	4	false	smoothSolver	2.38796060e-03	5.86157750e-05	4	true	smoothSolver	2.41951350e-04	1.22818310e-05	4	true	GAMG	9.31099440e-02	2.64064910e-03	2	true
55              	smoothSolver	8.95507670e-03	3.04643210e-04	4	1.21961710e-02	2.39342550e-04	4	false	smoothSolver	2.38443970e-03	5.84657380e-05	4	true	smoothSolver	2.37271420e-04	1.20241210e-05	4	true	GAMG	9.34699310e-02	2.58652620e-03	2	true
56              	smoothSolver	8.88609460e-03	3.03149590e-04	4	1.20331190e-02	2.36908620e-04	4	false	smoothSolver	2.39307270e-03	5.85383120e-05	4	true	smoothSolver	2.34152740e-04	1.17981660e-05	4	true	GAMG	9.40287780e-02	2.67075270e-03	2	true
57              	smoothSolver	8.80869890e-03	2.99339340e-04	4	1.19423630e-02	2.32962490e-04	4	false	smoothSolver	2.39930300e-03	5.86372600e-05	4	true	smoothSolver	2.31147400e-04	1.15842110e-05	4	true	GAMG	9.16017640e-02	2.63892490e-03	2	true
58              	smoothSolver	8.70312770e-03	2.97183280e-04	4	1.17730860e-02	2.32455730e-04	4	false	smoothSolver	2.40691340e-03	5.89229800e-05	4	true	smoothSolver	2.27731670e-04	1.13941490e-05	4	true	GAMG	9.08785720e-02	2.71396740e-03	2	true
59              	smoothSolver	8.65059900e-03	2.92753900e-04	4	1.16036890e-02	2.27885450e-04	4	false	smoothSolver	2.41629660e-03	5.89816160e-05	4	true	smoothSolver	2.24780850e-04	1.12349300e-05	4	true	GAMG	8.76532170e-02	2.63999370e-03	2	true
60              	smoothSolver	8.60759850e-03	2.91036140e-04	4	1.14687900e-02	2.26157920e-04	4	false	smoothSolver	2.42826550e-03	5.91786280e-05	4	true	smoothSolver	2.22725970e-04	1.10241020e-05	4	true	GAMG	8.77285140e-02	2.56888750e-03	2	true
61              	smoothSolver	8.56129690e-03	2.89245710e-04	4	1.13864730e-02	2.20467360e-04	4	false	smoothSolver	2.44329270e-03	5.93557650e-05	4	true	smoothSolver	2.21276250e-04	1.08412090e-05	4	true	GAMG	8.68728160e-02	2.46228870e-03	2	true
62              	smoothSolver	8.49416260e-03	2.86827120e-04	4	1.11927840e-02	2.19634970e-04	4	false	smoothSolver	2.45887970e-03	5.97580430e-05	4	true	smoothSolver	2.20196730e-04	1.07181990e-05	4	true	GAMG	8.68312940e-02	2.45599380e-03	2	true
63              	smoothSolver	8.43154000e-03	2.83386500e-04	4	1.11170990e-02	2.16050500e-04	4	false	smoothSolver	2.47162200e-03	6.00640660e-05	4	true	smoothSolver	2.18108820e-04	1.06432200e-05	4	true	GAMG	8.56169250e-02	2.40263650e-03	2	true
64              	smoothSolver	8.34094770e-03	2.82410210e-04	4	1.09738420e-02	2.16064220e-04	4	false	smoothSolver	2.48845060e-03	6.05919410e-05	4	true	smoothSolver	2.15980790e-04	1.05795570e-05	4	true	GAMG	8.35597060e-02	2.49464330e-03	2	true
65              	smoothSolver	8.35065810e-03	2.80650500e-04	4	1.08890020e-02	2.12238220e-04	4	false	smoothSolver	2.50666790e-03	6.10115720e-05	4	true	smoothSolver	2.14798320e-04	1.05141970e-05	4	true	GAMG	8.41704700e-02	2.55132570e-03	2	true
66              	smoothSolver	8.28184240e-03	2.78911230e-04	4	1.07454510e-02	2.09001710e-04	4	false	smoothSolver	2.52508960e-03	6.13301110e-05	4	true	smoothSolver	2.14762900e-04	1.04108210e-05	4	true	GAMG	8.22567420e-02	2.42193640e-03	2	true
67              	smoothSolver	8.25032890e-03	2.76713770e-04	4	1.06433150e-02	2.06832600e-04	4	false	smoothSolver	2.54044480e-03	6.16452690e-05	4	true	smoothSolver	2.13787040e-04	1.03563640e-05	4	true	GAMG	8.02772570e-02	2.37505650e-03	2	true
