# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+02
# lRef          : 1.00000000e+00
# Aref          : 2.50000000e-01
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
2430            	-4.46541295e-02	4.72641354e-01	-5.17295484e-01	7.91949470e-01	1.00298154e+00	-2.11032068e-01	6.07006803e-01	4.94968419e-01	2.79088309e-02	4.82275183e-22	2.79088309e-02	-2.79088309e-02
2440            	-4.47435370e-02	4.72532843e-01	-5.17276380e-01	7.91847379e-01	1.00271577e+00	-2.10868396e-01	6.06792085e-01	4.94904612e-01	2.79647106e-02	4.87409950e-22	2.79647106e-02	-2.79647106e-02
2450            	-4.45591451e-02	4.72567115e-01	-5.17126260e-01	7.91754700e-01	1.00276400e+00	-2.11009300e-01	6.06886650e-01	4.94846687e-01	2.78494657e-02	5.12341116e-22	2.78494657e-02	-2.78494657e-02
2460            	-4.44145284e-02	4.72174526e-01	-5.16589055e-01	7.91010865e-01	1.00173836e+00	-2.10727498e-01	6.06232930e-01	4.94381790e-01	2.77590803e-02	4.91699886e-22	2.77590803e-02	-2.77590803e-02
2470            	-4.46139243e-02	4.73303306e-01	-5.17917230e-01	7.92976429e-01	1.00418039e+00	-2.11203959e-01	6.07692173e-01	4.95610268e-01	2.78837027e-02	5.00329605e-22	2.78837027e-02	-2.78837027e-02
2480            	-4.42649844e-02	4.72925817e-01	-5.17190801e-01	7.92093295e-01	1.00284929e+00	-2.10755997e-01	6.06802644e-01	4.95058309e-01	2.76656152e-02	4.38646994e-22	2.76656152e-02	-2.76656152e-02
2490            	-4.45912401e-02	4.72936165e-01	-5.17527405e-01	7.92370855e-01	1.00326946e+00	-2.10898603e-01	6.07084031e-01	4.95231785e-01	2.78695251e-02	5.12354603e-22	2.78695251e-02	-2.78695251e-02
2500            	-4.44113991e-02	4.73157070e-01	-5.17568469e-01	7.92580432e-01	1.00338882e+00	-2.10808384e-01	6.07098599e-01	4.95362770e-01	2.77571245e-02	4.75278857e-22	2.77571245e-02	-2.77571245e-02
2510            	-4.45014068e-02	4.73222770e-01	-5.17724177e-01	7.92757558e-01	1.00373849e+00	-2.10980937e-01	6.07359716e-01	4.95473473e-01	2.78133793e-02	4.95480810e-22	2.78133793e-02	-2.78133793e-02
2520            	-4.39188331e-02	4.73103265e-01	-5.17022098e-01	7.92100290e-01	1.00276209e+00	-2.10661800e-01	6.06711945e-01	4.95062681e-01	2.74492707e-02	4.50909306e-22	2.74492707e-02	-2.74492707e-02
2530            	-4.41735302e-02	4.72425509e-01	-5.16599039e-01	7.91219638e-01	1.00157943e+00	-2.10359788e-01	6.05969607e-01	4.94512274e-01	2.76084564e-02	4.67640061e-22	2.76084564e-02	-2.76084564e-02
2540            	-4.48051983e-02	4.73255744e-01	-5.18060943e-01	7.93053350e-01	1.00417115e+00	-2.11117805e-01	6.07644480e-01	4.95658344e-01	2.80032489e-02	4.90535889e-22	2.80032489e-02	-2.80032489e-02
2550            	-4.40801294e-02	4.71982534e-01	-5.16062663e-01	7.90436158e-01	1.00076865e+00	-2.10332490e-01	6.05550569e-01	4.94022599e-01	2.75500809e-02	5.24823137e-22	2.75500809e-02	-2.75500809e-02
2560            	-4.42556327e-02	4.72419994e-01	-5.16675627e-01	7.91276497e-01	1.00200906e+00	-2.10732566e-01	6.06370815e-01	4.94547811e-01	2.76597705e-02	4.70365428e-22	2.76597705e-02	-2.76597705e-02
2570            	-4.48354529e-02	4.72045568e-01	-5.16881021e-01	7.91141271e-01	1.00195589e+00	-2.10814619e-01	6.06385254e-01	4.94463294e-01	2.80221580e-02	4.90141086e-22	2.80221580e-02	-2.80221580e-02
2580            	-4.43877015e-02	4.72522601e-01	-5.16910302e-01	7.91546322e-01	1.00246662e+00	-2.10920296e-01	6.06693457e-01	4.94716451e-01	2.77423135e-02	5.06003859e-22	2.77423135e-02	-2.77423135e-02
2590            	-4.46768098e-02	4.71787829e-01	-5.16464639e-01	7.90601974e-01	1.00138026e+00	-2.10778290e-01	6.06079277e-01	4.94126234e-01	2.79230062e-02	4.76225700e-22	2.79230062e-02	-2.79230062e-02
2600            	-4.44601189e-02	4.71476644e-01	-5.15936762e-01	7.89930725e-01	1.00032122e+00	-2.10390495e-01	6.05355858e-01	4.93706703e-01	2.77875743e-02	5.22211076e-22	2.77875743e-02	-2.77875743e-02
2610            	-4.48118833e-02	4.72260005e-01	-5.17071888e-01	7.91465514e-01	1.00266946e+00	-2.11203945e-01	6.06936702e-01	4.94665946e-01	2.80074271e-02	5.12588351e-22	2.80074271e-02	-2.80074271e-02
2620            	-4.40278416e-02	4.71379194e-01	-5.15407035e-01	7.89428983e-01	9.99623239e-01	-2.10194255e-01	6.04908747e-01	4.93393115e-01	2.75174010e-02	4.82529356e-22	2.75174010e-02	-2.75174010e-02
2630            	-4.43371100e-02	4.72582921e-01	-5.16920031e-01	7.91602362e-01	1.00256355e+00	-2.10961191e-01	6.06762372e-01	4.94751476e-01	2.77106937e-02	4.85539984e-22	2.77106937e-02	-2.77106937e-02
2640            	-4.45784076e-02	4.71688094e-01	-5.16266501e-01	7.90363676e-01	1.00103554e+00	-2.10671864e-01	6.05853702e-01	4.93977297e-01	2.78615047e-02	4.97553363e-22	2.78615047e-02	-2.78615047e-02
